id;reference;email;live_on;disbursement_frequency;minimum_monthly_fee
86312006-4d7e-45c4-9c28-788f4aa68a62;padberg_group;info@padberg-group.com;2023-02-01;DAILY;0.0
d1649242-a612-46ba-82d8-225542bb9576;deckow_gibson;info@deckow-gibson.com;2022-12-14;DAILY;0.0
a616488f-c8b2-45dd-b29f-364d12a20238;romaguera_and_sons;info@romaguera-and-sons.com;2022-12-10;DAILY;0.0
9b6d2b8a-f06c-4298-8f27-f33545eb5899;rosenbaum_parisian;info@rosenbaum-parisian.com;2022-11-09;WEEKLY;15.0
fa834b62-f143-4805-a2c7-e085eb608e2c;sanford_group;info@sanford-group.com;2022-12-06;DAILY;30.0
f09a1851-749f-43a3-a137-d02e9525d0d4;mohr_wiza_and_medhurst;info@mohr-wiza-and-medhurst.com;2022-09-26;WEEKLY;15.0
524a61d5-f73d-4fa9-a3b9-8c6716c542a1;dooley_stracke;info@dooley-stracke.com;2022-10-10;DAILY;15.0
81805b1d-c10e-4f73-a043-6e2616cb67d2;rosenbaum_kerluke;info@rosenbaum-kerluke.com;2023-01-05;WEEKLY;30.0
e97d2b5b-a2cd-4973-88a2-1d7584be5ac5;breitenberg_boyer;info@breitenberg-boyer.com;2022-12-20;WEEKLY;0.0
18139ef0-d162-4034-b43c-5c10791a5608;gerhold_cremin_and_brown;info@gerhold-cremin-and-brown.com;2022-12-22;DAILY;0.0
0a831e36-eba4-46ec-835f-3e6a96915e43;reichert_group;info@reichert-group.com;2022-09-08;WEEKLY;30.0
065ddd0e-8cc7-482a-9e72-159f54423daa;schmitt_gusikowski;info@schmitt-gusikowski.com;2022-09-05;WEEKLY;30.0
bad20ce0-8a63-4a84-a6ea-c489ec72c0db;klocko_stanton_and_hammes;info@klocko-stanton-and-hammes.com;2022-11-18;DAILY;15.0
f8331a2b-4164-45d9-a5dd-e34662a3e252;johns_medhurst_and_schiller;info@johns-medhurst-and-schiller.com;2022-09-21;WEEKLY;0.0
6d0e80cd-b5a9-47c1-9c4c-5e01606173f5;hayes_vandervort;info@hayes-vandervort.com;2023-01-03;DAILY;30.0
29ab6436-e5ef-44d3-bbd8-6e7e8c8ef334;marks_gleason_and_goyette;info@marks-gleason-and-goyette.com;2022-12-25;WEEKLY;0.0
ea216f2e-e60f-4a7c-9fc5-5c8862410bd6;monahan_inc;info@monahan-inc.com;2022-12-30;DAILY;30.0
18f9895c-fa0f-4ebe-899a-3b4d3afdad97;haag_llc;info@haag-llc.com;2022-09-04;WEEKLY;30.0
ff776459-532f-493c-9cac-d1e8c1d429e6;pfeffer_funk;info@pfeffer-funk.com;2022-12-29;DAILY;15.0
e59e50e0-82d7-45d9-9f10-fd11fb6525aa;okon_lakin;info@okon-lakin.com;2022-11-24;WEEKLY;0.0
e4eb706a-676f-4fe3-8b3b-b17c7a94d514;wuckert_huel;info@wuckert-huel.com;2022-11-27;DAILY;15.0
